Name,Project Title,Amount($),Fiscal Year,Program
"Liang, Hao","Decentralized Operation, Control, and Communications in Smart Grid",27000,2018-2019,Discovery Grants Program - Individual
"Liang, Hao","Decentralized Operation, Control, and Communications in Smart Grid",27000,2017-2018,Discovery Grants Program - Individual
"Liang, Hao","Decentralized Operation, Control, and Communications in Smart Grid",27000,2016-2017,Discovery Grants Program - Individual
"Liang, Hao","Decentralized Operation, Control, and Communications in Smart Grid",27000,2015-2016,Discovery Grants Program - Individual
"Liboiron-Ladouceur, Odile",Artificial Intelligence (AI) Mode-Space Optical/Quantum Processor Design for Energy-Autonomous AI Applications,64000,2023-2024,Discovery Grants Program - Individual
"LiboironLadouceur, Odile",Artificial Intelligence (AI) Mode-Space Optical/Quantum Processor Design for Energy-Autonomous AI Applications,64000,2022-2023,Discovery Grants Program - Individual
"LiboironLadouceur, Odile",Smallest Integrated Networks for Highest Data Density,25000,2018-2019,Discovery Grants Program - Individual
"LiboironLadouceur, Odile",Smallest Integrated Networks for Highest Data Density,25000,2020-2021,Discovery Grants Program - Individual
"LiboironLadouceur, Odile",Artificial Intelligence (AI) Mode-Space Optical/Quantum Processor Design for Energy-Autonomous AI Applications,64000,2021-2022,Discovery Grants Program - Individual
"LiboironLadouceur, Odile",Smallest Integrated Networks for Highest Data Density,25000,2019-2020,Discovery Grants Program - Individual
"LiboironLadouceur, Odile",Smallest Integrated Networks for Highest Data Density,25000,2016-2017,Discovery Grants Program - Individual
"LiboironLadouceur, Odile",Smallest Integrated Networks for Highest Data Density,25000,2015-2016,Discovery Grants Program - Individual
"LiboironLadouceur, Odile",Smallest Integrated Networks for Highest Data Density,25000,2017-2018,Discovery Grants Program - Individual
"LiboironLadouceur, Odile",Automatic optical probe station for next-generation photonic die experimental validation,146339,2021-2022,Research Tools and Instruments
"Linder, Tamas","Source coding theory, algorithms, and applications to robust multimedia compression in networks",33134,2012-2013,Discovery Grants Program - Individual
"Linder, Tamas","Source coding theory, algorithms, and applications to robust multimedia compression in networks",33134,2010-2011,Discovery Grants Program - Individual
"Linder, Tamas","Source coding theory, algorithms, and applications to robust multimedia compression in networks",33134,2011-2012,Discovery Grants Program - Individual
"Liu, Jiangchuan",Measurement and analysis of traffic and piracy on YouTube,25000,2011-2012,Engage Grants Program
"Lu, Rongxing","Advanced Security and Privacy Techniques for Secure Big Data Query, Sharing and Processing",41000,2023-2024,Discovery Grants Program - Individual
"Lu, Rongxing","Advanced Security and Privacy Techniques for Secure Big Data Query, Sharing and Processing",41000,2022-2023,Discovery Grants Program - Individual
"MacGregor, Carolyn",Transformable 3D interactive devices for virtual environments,20000,2010-2011,Discovery Grants Program - Individual
"MacGregor, Carolyn",Transformable 3D interactive devices for virtual environments,20000,2013-2014,Discovery Grants Program - Individual
"Mazalek, Alexandra",Grasping Science: Designing Tangible and Embodied Interactions for the Computational Sciences,29000,2015-2016,Discovery Grants Program - Individual
"Mazalek, Alexandra",Grasping Science: Designing Tangible and Embodied Interactions for the Computational Sciences,29000,2016-2017,Discovery Grants Program - Individual
"Mazalek, Alexandra",Grasping Science: Designing Tangible and Embodied Interactions for the Computational Sciences,29000,2017-2018,Discovery Grants Program - Individual
"Mazalek, Alexandra",From Big Biological Data to Tangible Insights: Designing tangible and multi-display interactions to support data analysis and model building in the biology domain,48000,2021-2022,Discovery Grants Program - Individual
"Mazalek, Alexandra",From Big Biological Data to Tangible Insights: Designing tangible and multi-display interactions to support data analysis and model building in the biology domain,48000,2023-2024,Discovery Grants Program - Individual
"Mazalek, Alexandra",From Big Biological Data to Tangible Insights: Designing tangible and multi-display interactions to support data analysis and model building in the biology domain,48000,2022-2023,Discovery Grants Program - Individual
"Mazalek, Alexandra",Grasping Science: Designing Tangible and Embodied Interactions for the Computational Sciences,29000,2019-2020,Discovery Grants Program - Individual
"Mazalek, Alexandra",Grasping Science: Designing Tangible and Embodied Interactions for the Computational Sciences,29000,2018-2019,Discovery Grants Program - Individual
"McGregor, Carolyn",Big data based predictive analytics platform for supply chain rebates and customer analysis,25000,2015-2016,Engage Grants Program
"Miller, Avery",The Effects of Locality on Efficient Distributed Computation,40000,2022-2023,Discovery Grants Program - Individual
"Miller, Avery",The Effects of Locality on Efficient Distributed Computation,20000,2018-2019,Discovery Grants Program - Individual
"Miller, Avery",The Effects of Locality on Efficient Distributed Computation,20000,2019-2020,Discovery Grants Program - Individual
"Miller, Avery",The Effects of Locality on Efficient Distributed Computation,20000,2020-2021,Discovery Grants Program - Individual
"Miller, Avery",The Effects of Locality on Efficient Distributed Computation,20000,2017-2018,Discovery Grants Program - Individual
"Morandotti, Roberto","Manipulating light from a single photon to complex beams and wave packets, and their novel applications.",62000,2016-2017,Discovery Grants Program - Individual
"Morandotti, Roberto","Manipulating light from a single photon to complex beams and wave packets, and their novel applications.",62000,2017-2018,Discovery Grants Program - Individual
"Morandotti, Roberto","Manipulating light from a single photon to complex beams and wave packets, and their novel applications.",62000,2015-2016,Discovery Grants Program - Individual
"Morandotti, Roberto","Manipulating light from a single photon to complex beams and wave packets, and their novel applications.",62000,2014-2015,Discovery Grants Program - Individual
"Morandotti, Roberto","Manipulating light from a single photon to complex beams and wave packets, and their novel applications.",62000,2018-2019,Discovery Grants Program - Individual
"Mosca, Michele",Quantum computing and cryptography,74000,2020-2021,Discovery Grants Program - Individual
"Mouftah, Hussein",Network and topology discovery in Internet of Things,25000,2015-2016,Engage Grants Program
"Munzner, Tamara",Accelerating the Improvement of Visualization Design Methodology,46000,2023-2024,Discovery Grants Program - Individual
"Munzner, Tamara",Accelerating the Improvement of Visualization Design Methodology,46000,2019-2020,Discovery Grants Program - Individual
"Munzner, Tamara",Accelerating the Improvement of Visualization Design Methodology,46000,2018-2019,Discovery Grants Program - Individual
"Munzner, Tamara",Accelerating the Improvement of Visualization Design Methodology,46000,2020-2021,Discovery Grants Program - Individual
"Munzner, Tamara",Accelerating the Improvement of Visualization Design Methodology,46000,2014-2015,Discovery Grants Program - Individual
"Munzner, Tamara",Accelerating the Improvement of Visualization Design Methodology,46000,2015-2016,Discovery Grants Program - Individual
"Munzner, Tamara",Accelerating the Improvement of Visualization Design Methodology,46000,2016-2017,Discovery Grants Program - Individual
"Munzner, Tamara",Accelerating the Improvement of Visualization Design Methodology,46000,2017-2018,Discovery Grants Program - Individual
"Nayak, Ashwin",Implications of quantum information for computational complexity,39000,2017-2018,Discovery Grants Program - Individual
"Nayak, Ashwin",Implications of quantum information for computational complexity,39000,2016-2017,Discovery Grants Program - Individual
"Nayak, Ashwin",Implications of quantum information for computational complexity,39000,2015-2016,Discovery Grants Program - Individual
"Nayak, Ashwin",Implications of quantum information for computational complexity,39000,2014-2015,Discovery Grants Program - Individual
"Nayak, Ashwin",Implications of quantum information for computational complexity,39000,2019-2020,Discovery Grants Program - Individual
"Nicolay, SylvainSM",Canada-UK Quantum Technologies call: Advanced Manufacturing Toolkit for Quantum Sensing and Quantum Computing,134240,2022-2023,Alliance Grants
"Oldford, Wayne",Statistical and computational methodology for visualizing high-dimensional digital data,12000,2016-2017,Discovery Grants Program - Individual
"Oldford, Wayne",Statistical and computational methodology for visualizing high-dimensional digital data,12000,2015-2016,Discovery Grants Program - Individual
"Oldford, Wayne",Statistical and computational methodology for visualizing high-dimensional digital data,12000,2012-2013,Discovery Grants Program - Individual
"Oldford, Wayne",Statistical and computational methodology for visualizing high-dimensional digital data,12000,2014-2015,Discovery Grants Program - Individual
"Oldford, Wayne",Statistical and computational methodology for visualizing high-dimensional digital data,12000,2013-2014,Discovery Grants Program - Individual
"Ozaki, Tsuneyuki",Extreme Photon Science and Technology with a Twist,50000,2022-2023,Discovery Grants Program - Individual
"Ozaki, Tsuneyuki",Extreme Photon Science and Technology with a Twist,50000,2023-2024,Discovery Grants Program - Individual
"Ozaki, Tsuneyuki",Extreme Photon Science and Technology with a Twist,50000,2019-2020,Discovery Grants Program - Individual
"Ozaki, Tsuneyuki",Extreme Photon Science and Technology with a Twist,50000,2020-2021,Discovery Grants Program - Individual
"Ozaki, Tsuneyuki",Extreme Photon Science and Technology with a Twist,50000,2021-2022,Discovery Grants Program - Individual
"Ozsu, MTamer",RDF Data Management,54000,2018-2019,Discovery Grants Program - Individual
"Özsu, MTamer",RDF Data Management,54000,2015-2016,Discovery Grants Program - Individual
"Özsu, MTamer",RDF Data Management,54000,2016-2017,Discovery Grants Program - Individual
"Özsu, MTamer",RDF Data Management,54000,2014-2015,Discovery Grants Program - Individual
"Özsu, MTamer",RDF Data Management,54000,2017-2018,Discovery Grants Program - Individual
"Papyan, Vardan",Inductive Biases in Deep Learning,34000,2023-2024,Discovery Grants Program - Individual
"Papyan, Vardan",Inductive Biases in Deep Learning,34000,2022-2023,Discovery Grants Program - Individual
"Papyan, Vardan",Inductive Biases in Deep Learning,34000,2021-2022,Discovery Grants Program - Individual
"Pedrycz, Witold","Interpretable and explainable rule-based modeling: analysis, design, and evaluation in the framework of Granular Computing and federated learning",46000,2023-2024,Discovery Grants Program - Individual
"Pedrycz, Witold","Interpretable and explainable rule-based modeling: analysis, design, and evaluation in the framework of Granular Computing and federated learning",46000,2022-2023,Discovery Grants Program - Individual
"Pellizzoni, Rodolfo",Many-core Platforms for Time-Critical Systems,37000,2018-2019,Discovery Grants Program - Individual
"Pellizzoni, Rodolfo",Many-core Platforms for Time-Critical Systems,37000,2020-2021,Discovery Grants Program - Individual
"Pellizzoni, Rodolfo",Many-core Platforms for Time-Critical Systems,37000,2019-2020,Discovery Grants Program - Individual
"Pellizzoni, Rodolfo",Many-core Platforms for Time-Critical Systems,37000,2017-2018,Discovery Grants Program - Individual
"PioroLadrière, Michel",Controlling electron spins in silicon/ Manipuler le spin des électrons dans le silicium,42000,2017-2018,Discovery Grants Program - Individual
"PioroLadrière, Michel",Controlling electron spins in silicon/ Manipuler le spin des électrons dans le silicium,42000,2014-2015,Discovery Grants Program - Individual
"PioroLadrière, Michel",Controlling electron spins in silicon/ Manipuler le spin des électrons dans le silicium,42000,2016-2017,Discovery Grants Program - Individual
"PioroLadrière, Michel",Controlling electron spins in silicon/ Manipuler le spin des électrons dans le silicium,42000,2015-2016,Discovery Grants Program - Individual
"PioroLadrière, Michel",Controlling electron spins in silicon/ Manipuler le spin des électrons dans le silicium,42000,2018-2019,Discovery Grants Program - Individual
"PioroLadrière, Michel",Canada-UK Quantum Technologies call: Advanced Manufacturing Toolkit for Quantum Sensing and Quantum Computing,113440,2020-2021,Alliance Grants
"PioroLadrière, Michel",Canada-UK Quantum Technologies call: Advanced Manufacturing Toolkit for Quantum Sensing and Quantum Computing,152320,2021-2022,Alliance Grants
"Pitassi, Toniann",New Directions in Complexity Theory,40000,2017-2018,DND/NSERC Discovery Grant Supplement
"Pitassi, Toniann",New Directions in Complexity Theory,60000,2018-2019,Discovery Grants Program - Individual
"Pitassi, Toniann",New Directions in Complexity Theory,60000,2020-2021,Discovery Grants Program - Individual
"Pitassi, Toniann",New Directions in Complexity Theory,60000,2019-2020,Discovery Grants Program - Individual
"Pitassi, Toniann",New Directions in Complexity Theory,60000,2017-2018,Discovery Grants Program - Individual
"Plant, David","O-Band Optical Communications, Sensing, and Instrumentaion",149180,2017-2018,Research Tools and Instruments
"Plant, David",Arbitrary Wave Form Generation for the Data Center Centric Internet,150000,2015-2016,Research Tools and Instruments
"Poulin, David",Quantum many-body information,40180,2020-2021,Discovery Grants Program - Individual
"Poulin, David",Quantum many-body information,41000,2019-2020,Discovery Grants Program - Individual
"Pralat, Pawel PA",Modelling and Mining Complex Networks as Hypergraphs,97000,2023-2024,Alliance Grants
"Pralat, PawelPA",Modelling and Mining Complex Networks as Hypergraphs,97000,2022-2023,Alliance Grants
"Rabbat, Michael",Network-Centric Methods for Distributed Machine Learning and Optimization,33000,2012-2013,Discovery Grants Program - Individual
"Rabbat, Michael",Network-Centric Methods for Distributed Machine Learning and Optimization,33000,2016-2017,Discovery Grants Program - Individual
"Rabbat, Michael",Network-Centric Methods for Distributed Machine Learning and Optimization,33000,2014-2015,Discovery Grants Program - Individual
"Rabbat, Michael",Network-Centric Methods for Distributed Machine Learning and Optimization,33000,2015-2016,Discovery Grants Program - Individual
"Rabbat, Michael",Network-Centric Methods for Distributed Machine Learning and Optimization,33000,2013-2014,Discovery Grants Program - Individual
"Ravanelli, Mirco",Building the next generation of intelligent machines with cooperative deep learning.,29000,2022-2023,Discovery Grants Program - Individual
"Ravanelli, Mirco",Building the next generation of intelligent machines with cooperative deep learning.,29000,2023-2024,Discovery Grants Program - Individual
"Rotenberg, Nir N",Quantum dot photonics for large-scale entanglement generation,500000,2023-2024,Alliance Grants
"Ruda, Harry",Exploring hybrid nanowire transistors; A route to discoveries and new technological opportunities,71000,2016-2017,Discovery Grants Program - Individual
"Ruda, Harry",Exploring hybrid nanowire transistors; A route to discoveries and new technological opportunities,71000,2013-2014,Discovery Grants Program - Individual
"Ruda, Harry",Exploring hybrid nanowire transistors; A route to discoveries and new technological opportunities,71000,2015-2016,Discovery Grants Program - Individual
"Ruda, Harry",Exploring hybrid nanowire transistors; A route to discoveries and new technological opportunities,71000,2014-2015,Discovery Grants Program - Individual
"Ruda, Harry",Exploring hybrid nanowire transistors; A route to discoveries and new technological opportunities,71000,2017-2018,Discovery Grants Program - Individual
"Salakhutdinov, Ruslan",Learning Hierarchical Generative Models: Theory and Applications,20000,2014-2015,Discovery Grants Program - Individual
"Salakhutdinov, Ruslan",Learning Hierarchical Generative Models: Theory and Applications,20000,2012-2013,Discovery Grants Program - Individual
"Salakhutdinov, Ruslan",Learning Hierarchical Generative Models: Theory and Applications,20000,2015-2016,Discovery Grants Program - Individual
"Salakhutdinov, Ruslan",Learning Hierarchical Generative Models: Theory and Applications,20000,2013-2014,Discovery Grants Program - Individual
"Salakhutdinov, Ruslan",Learning Hierarchical Generative Models: Theory and Applications,679,2016-2017,Discovery Grants Program - Individual
"Salfi, Joseph",Coherent quantum information platform with spin-orbit coupling in silicon,33000,2022-2023,Discovery Grants Program - Individual
"Salfi, Joseph",Coherent quantum information platform with spin-orbit coupling in silicon,33000,2023-2024,Discovery Grants Program - Individual
"Salfi, Joseph",Coherent quantum information platform with spin-orbit coupling in silicon,33000,2019-2020,Discovery Grants Program - Individual
"Salfi, Joseph",Coherent quantum information platform with spin-orbit coupling in silicon,33000,2020-2021,Discovery Grants Program - Individual
"Salfi, Joseph",Coherent quantum information platform with spin-orbit coupling in silicon,33000,2021-2022,Discovery Grants Program - Individual
"SAMPALLI, SRINIVAS","Unified Architecture for Security, Reliability, and Trust in Internet of Things",35000,2021-2022,Discovery Grants Program - Individual
"SAMPALLI, SRINIVAS","Unified Architecture for Security, Reliability, and Trust in Internet of Things",35000,2020-2021,Discovery Grants Program - Individual
"SAMPALLI, SRINIVAS","Unified Architecture for Security, Reliability, and Trust in Internet of Things",35000,2022-2023,Discovery Grants Program - Individual
"SAMPALLI, SRINIVAS","Unified Architecture for Security, Reliability, and Trust in Internet of Things",35000,2023-2024,Discovery Grants Program - Individual
"Santoro, Nicola",Distributed Computing and Mobility,44000,2016-2017,Discovery Grants Program - Individual
"Santoro, Nicola",Distributed Computing and Mobility,44000,2013-2014,Discovery Grants Program - Individual
"Santoro, Nicola",Distributed Computing and Mobility,44000,2015-2016,Discovery Grants Program - Individual
"Santoro, Nicola",Distributed Computing and Mobility,44000,2014-2015,Discovery Grants Program - Individual
"Santoro, Nicola",Distributed Computing and Mobility,44000,2017-2018,Discovery Grants Program - Individual
"Schmidt, Mark",Tractable Big Data and Big Models in Machine Learning,29000,2017-2018,Discovery Grants Program - Individual
"Schmidt, Mark",Tractable Big Data and Big Models in Machine Learning,29000,2015-2016,Discovery Grants Program - Individual
"Schmidt, Mark",Tractable Big Data and Big Models in Machine Learning,29000,2016-2017,Discovery Grants Program - Individual
"Schmidt, Mark",Hyper-fast hyper-parameter tuning for the next generation of machine learning,55000,2022-2023,Discovery Grants Program - Individual
"Schmidt, Mark",Hyper-fast hyper-parameter tuning for the next generation of machine learning,55000,2023-2024,Discovery Grants Program - Individual
"Schmidt, Mark",Tractable Big Data and Big Models in Machine Learning,29000,2019-2020,Discovery Grants Program - Individual
"Schmidt, Mark",Tractable Big Data and Big Models in Machine Learning,29000,2020-2021,Discovery Grants Program - Individual
"Schmidt, Mark",Tractable Big Data and Big Models in Machine Learning,29000,2018-2019,Discovery Grants Program - Individual
"Sedig, Kamran",Scaffold-based visual analytics tools for complex activities,20000,2018-2019,Discovery Grants Program - Individual
"Sedig, Kamran",Scaffold-based visual analytics tools for complex activities,20000,2020-2021,Discovery Grants Program - Individual
"Sedig, Kamran",Scaffold-based visual analytics tools for complex activities,20000,2019-2020,Discovery Grants Program - Individual
"Sedig, Kamran",Scaffold-based visual analytics tools for complex activities,20000,2017-2018,Discovery Grants Program - Individual
"ShahHeydari, Shahram",Situational Awareness Tool for Tactical Mobile Ad-Hoc Networks with Trust-based Routing,24000,2010-2011,Engage Grants Program
"Sheffer, Alla",Creation of Detailed Virtual Shapes: Foundations and Tools,52000,2016-2017,Discovery Grants Program - Individual
"Sheffer, Alla",Creation of Detailed Virtual Shapes: Foundations and Tools,52000,2012-2013,Discovery Grants Program - Individual
"Sheffer, Alla",Creation of Detailed Virtual Shapes: Foundations and Tools,52000,2017-2018,Discovery Grants Program - Individual
"Sheffer, Alla",Creation of Detailed Virtual Shapes: Foundations and Tools,52000,2013-2014,Discovery Grants Program - Individual
"Sheffer, Alla",Creation of Detailed Virtual Shapes: Foundations and Tools,52000,2014-2015,Discovery Grants Program - Individual
"Sheffer, Alla",Creation of Detailed Virtual Shapes: Foundations and Tools,52000,2015-2016,Discovery Grants Program - Individual
"Shekhar, Sudip",Integrated Circuits for Large Arrays,33000,2022-2023,Discovery Grants Program - Individual
"Shekhar, Sudip",Integrated Circuits for Large Arrays,33000,2023-2024,Discovery Grants Program - Individual
"Shekhar, Sudip",Integrated Circuits for Large Arrays,33000,2020-2021,Discovery Grants Program - Individual
"Shekhar, Sudip",Integrated Circuits for Large Arrays,33000,2021-2022,Discovery Grants Program - Individual
"Smucker, Mark",Predictive Modeling of User Performance for Validated Effectiveness Measures of Search Engine Quality,32000,2019-2020,Discovery Grants Program - Individual
"Smucker, Mark",Predictive Modeling of User Performance for Validated Effectiveness Measures of Search Engine Quality,32000,2014-2015,Discovery Grants Program - Individual
"Smucker, Mark",Predictive Modeling of User Performance for Validated Effectiveness Measures of Search Engine Quality,32000,2015-2016,Discovery Grants Program - Individual
"Smucker, Mark",Predictive Modeling of User Performance for Validated Effectiveness Measures of Search Engine Quality,32000,2016-2017,Discovery Grants Program - Individual
"Smucker, Mark",Predictive Modeling of User Performance for Validated Effectiveness Measures of Search Engine Quality,32000,2017-2018,Discovery Grants Program - Individual
"Sridhar, Dhanya",Advancing Machine Learning with Causal Models,23900,2023-2024,Discovery Grants Program - Individual
"Stumm, Michael",Systems software support for new generation non-volatile memories,26000,2019-2020,Discovery Grants Program - Individual
"Stumm, Michael",Systems software support for new generation non-volatile memories,26000,2020-2021,Discovery Grants Program - Individual
"Stumm, Michael",Systems software support for new generation non-volatile memories,26000,2018-2019,Discovery Grants Program - Individual
"Stumm, Michael",Systems software support for new generation non-volatile memories,26000,2017-2018,Discovery Grants Program - Individual
"Subakan, Yusuf Cem",Closing the Reality Gap in Machine Learning for Speech and Audio,31000,2023-2024,Discovery Grants Program - Individual
"Thewalt, Michael",Investigating deep defects in 28Si for potential applications in quantum information and communication,61000,2022-2023,Discovery Grants Program - Individual
"Thewalt, Michael",Investigating deep defects in 28Si for potential applications in quantum information and communication,122000,2023-2024,Discovery Grants Program - Individual
"Thewalt, Michael",Optical control and readout of spins in enriched 28Si for applications in quantum information,70000,2018-2019,Discovery Grants Program - Individual
"Thewalt, Michael",Investigating deep defects in 28Si for potential applications in quantum information and communication,61000,2021-2022,Discovery Grants Program - Individual
"Thewalt, Michael",Investigating deep defects in 28Si for potential applications in quantum information and communication,61000,2020-2021,Discovery Grants Program - Individual
"Thewalt, Michael",Optical control and readout of spins in enriched 28Si for applications in quantum information,70000,2017-2018,Discovery Grants Program - Individual
"Thewalt, Michael",Optical control and readout of spins in enriched 28Si for applications in quantum information,70000,2016-2017,Discovery Grants Program - Individual
"Thewalt, Michael",Optical control and readout of spins in enriched 28Si for applications in quantum information,70000,2015-2016,Discovery Grants Program - Individual
"Thewalt, Michael",Optical control and readout of spins in enriched 28Si for applications in quantum information,70000,2014-2015,Discovery Grants Program - Individual
"Thewalt, Michael",Investigating deep defects in 28Si for potential applications in quantum information and communication,61000,2019-2020,Discovery Grants Program - Individual
"Thulasiraman, Parimala",Hardware Accelerated Bio-Inspired Parallel Algorithms for Real World Applications,22000,2016-2017,Discovery Grants Program - Individual
"Tittel, Wolfgang","Merging \""nano\"", rare-earths, and nonlinear crystals: key technology for large-scale quantum networks",71000,2017-2018,Discovery Grants Program - Individual
"Tittel, Wolfgang","Merging \""nano\"", rare-earths, and nonlinear crystals: key technology for large-scale quantum networks",71000,2016-2017,Discovery Grants Program - Individual
"Tittel, Wolfgang","Merging \""nano\"", rare-earths, and nonlinear crystals: key technology for large-scale quantum networks",71000,2015-2016,Discovery Grants Program - Individual
"Vallée, Réal",Mid-Infrared photonic sources and devices,42000,2015-2016,Discovery Grants Program - Individual
"Vallée, Réal",Mid-Infrared photonic sources and devices,42000,2016-2017,Discovery Grants Program - Individual
"Vallée, Réal",Mid-Infrared photonic sources and devices,42000,2017-2018,Discovery Grants Program - Individual
"Vallée, Réal",Mid-Infrared photonic sources and devices,42000,2019-2020,Discovery Grants Program - Individual
"Vallée, Réal",Mid-Infrared photonic sources and devices,42000,2018-2019,Discovery Grants Program - Individual
"Van, Vien",A Silicon Topological Photonic Platform for Photonic Integrated Circuits,33000,2022-2023,Discovery Grants Program - Individual
"Van, Vien",A Silicon Topological Photonic Platform for Photonic Integrated Circuits,33000,2023-2024,Discovery Grants Program - Individual
"Veksler, Olga",Weakly Supervised and Unsupervised Semantic Segmentation with Regularized Loss,36000,2023-2024,Discovery Grants Program - Individual
"Wang, JiunChau",Free harmonic analysis and applications,15000,2018-2019,Discovery Grants Program - Individual
"Wang, JiunChau",Free harmonic analysis and applications,15000,2020-2021,Discovery Grants Program - Individual
"Wang, JiunChau",Free harmonic analysis and applications,15000,2019-2020,Discovery Grants Program - Individual
"Wang, JiunChau",Free harmonic analysis and applications,15000,2017-2018,Discovery Grants Program - Individual
"Wang, Lingyu",Improving the Resilience of Computing Infrastructures against Zero Day Attacks through Quantitative Threat Modeling and Network Hardening,26000,2017-2018,Discovery Grants Program - Individual
"Wang, Lingyu",Improving the Resilience of Computing Infrastructures against Zero Day Attacks through Quantitative Threat Modeling and Network Hardening,26000,2019-2020,Discovery Grants Program - Individual
"Wang, Lingyu",Improving the Resilience of Computing Infrastructures against Zero Day Attacks through Quantitative Threat Modeling and Network Hardening,26000,2020-2021,Discovery Grants Program - Individual
"Wang, Lingyu",Improving the Resilience of Computing Infrastructures against Zero Day Attacks through Quantitative Threat Modeling and Network Hardening,26000,2018-2019,Discovery Grants Program - Individual
"Wang, Lingyu",Improving the Resilience of Computing Infrastructures against Zero Day Attacks through Quantitative Threat Modeling and Network Hardening,26000,2022-2023,Discovery Grants Program - Individual
"Wang, Zhou",Steacie Fellowship RTI - An Infrastructure for Quality-of-Visual-Experience Research,149993,2013-2014,"Research Tools and Instruments - Category 1 (<$150,000)"
"Willett, Wesley",Streamlined Tools for Personal Analytics,22000,2018-2019,Discovery Grants Program - Individual
"Willett, Wesley",Streamlined Tools for Personal Analytics,22000,2020-2021,Discovery Grants Program - Individual
"Willett, Wesley",Streamlined Tools for Personal Analytics,22000,2019-2020,Discovery Grants Program - Individual
"Willett, Wesley",Streamlined Tools for Personal Analytics,22000,2017-2018,Discovery Grants Program - Individual
"Willett, Wesley",Streamlined Tools for Personal Analytics,22000,2016-2017,Discovery Grants Program - Individual
"Wilson, Christopher",Quantum Microwaves from Superconducting Quantum Circuits,61000,2019-2020,Discovery Grants Program - Individual
"Wilson, Christopher",Quantum Microwaves from Superconducting Quantum Circuits,61000,2020-2021,Discovery Grants Program - Individual
"Wilson, Christopher",Quantum Microwaves from Superconducting Quantum Circuits,61000,2021-2022,Discovery Grants Program - Individual
"Wilson, Christopher",Quantum Microwaves from Superconducting Quantum Circuits,61000,2023-2024,Discovery Grants Program - Individual
"Wilson, Christopher",Quantum Microwaves from Superconducting Quantum Circuits,61000,2022-2023,Discovery Grants Program - Individual
"Wolkow, Robert",Scanning Probe and Point Projection Microscopies for Fundamental Nano-Science Studies,99000,2018-2019,Discovery Grants Program - Individual
"Wolkow, Robert",Scanning Probe and Point Projection Microscopies for Fundamental Nano-Science Studies,99000,2014-2015,Discovery Grants Program - Individual
"Wolkow, Robert",Scanning Probe and Point Projection Microscopies for Fundamental Nano-Science Studies,99000,2017-2018,Discovery Grants Program - Individual
"Wolkow, Robert",Scanning Probe and Point Projection Microscopies for Fundamental Nano-Science Studies,99000,2016-2017,Discovery Grants Program - Individual
"Wolkow, Robert",Scanning Probe and Point Projection Microscopies for Fundamental Nano-Science Studies,99000,2015-2016,Discovery Grants Program - Individual
"Woszczyk, Wieslaw",Improving the Perceived Sound Field Continuity Using Convolution of Impulse Sequences for Virtual Acoustics,24000,2021-2022,Discovery Grants Program - Individual
"Woszczyk, Wieslaw",Improving the Perceived Sound Field Continuity Using Convolution of Impulse Sequences for Virtual Acoustics,24000,2020-2021,Discovery Grants Program - Individual
"Woszczyk, Wieslaw",Improving the Perceived Sound Field Continuity Using Convolution of Impulse Sequences for Virtual Acoustics,24000,2022-2023,Discovery Grants Program - Individual
"Woszczyk, Wieslaw",Improving the Perceived Sound Field Continuity Using Convolution of Impulse Sequences for Virtual Acoustics,24000,2023-2024,Discovery Grants Program - Individual
"Wu, Kui",Copula-based Dependence Modeling for Computer and Communication Networks,48000,2023-2024,Discovery Grants Program - Individual
"Wu, Kui",Copula-based Dependence Modeling for Computer and Communication Networks,48000,2022-2023,Discovery Grants Program - Individual
"Wu, Kui",Copula-based Dependence Modeling for Computer and Communication Networks,48000,2020-2021,Discovery Grants Program - Individual
"Wu, Kui",Copula-based Dependence Modeling for Computer and Communication Networks,48000,2019-2020,Discovery Grants Program - Individual
"Wu, Kui",Copula-based Dependence Modeling for Computer and Communication Networks,48000,2018-2019,Discovery Grants Program - Individual
"Xiang, Yang",Multiagent uncertain reasoning and knowledge discovery with graphical models,31000,2010-2011,Discovery Grants Program - Individual
"Yauck, Mamadou",Inference and computational methods for regression models in the presence of partially observed network data or high-dimensional capture-recapture data,19000,2022-2023,Discovery Grants Program - Individual
"Yauck, Mamadou",Inference and computational methods for regression models in the presence of partially observed network data or high-dimensional capture-recapture data,19000,2023-2024,Discovery Grants Program - Individual
"Yoon, Youngki",Bottom-up Design and Optimization of Ferroelectric Van der Waals Heterostructure Electronics,28000,2023-2024,Discovery Grants Program - Individual
"Yoon, Youngki",Bottom-up Design and Optimization of Ferroelectric Van der Waals Heterostructure Electronics,28000,2022-2023,Discovery Grants Program - Individual
"Yoon, Youngki",Bottom-up Design and Optimization of Ferroelectric Van der Waals Heterostructure Electronics,28000,2021-2022,Discovery Grants Program - Individual
"Young, Jeff",Silicon Photonic Circuits for Quantum Information Processing,46000,2020-2021,Discovery Grants Program - Individual
"Young, Jeffrey",Silicon Photonic Circuits for Quantum Information Processing,46000,2019-2020,Discovery Grants Program - Individual
"Young, Jeffrey",Silicon Photonic Circuits for Quantum Information Processing,46000,2018-2019,Discovery Grants Program - Individual
"Young, Jeffrey",Silicon Photonic Circuits for Quantum Information Processing,46000,2017-2018,Discovery Grants Program - Individual
"Yu, Yun William",Data compression for biomedical data analysis,29000,2023-2024,Discovery Grants Program - Individual
